strain,stress
0.0,0.0
0.01477272727272716,0.15385041162195764
0.02954545454545454,0.29705539381533935
0.04431818181818192,0.43063951871494827
0.05909090909090908,0.5555161963718662
0.07386363636363624,0.6725010606401693
0.08863636363636362,0.7823235878148191
0.103409090909091,0.8856372013120207
0.11818181818181817,0.9830280765915644
0.13295454545454533,1.0750228278815455
0.1477272727272727,1.1620952309468398
0.1625000000000001,1.2446721132215
0.17727272727272725,1.3231385233488058
0.1920454545454544,1.3978422759244173
0.2068181818181818,1.469097953511881
0.22159090909090917,1.5371904363789528
0.23636363636363633,1.6023780205441582
0.2511363636363635,1.6648951763413722
0.2659090909090909,1.724954992570302
0.28068181818181825,1.7827513452067185
0.2954545454545454,1.8384608244349514
0.3102272727272726,1.8922444493003738
0.32499999999999996,1.9442491954474503
0.33977272727272734,1.9946093581139221
0.3545454545454545,2.0434477697136115
0.36931818181818166,2.090876888891667
0.38409090909090904,2.1369997758198647
0.3988636363636364,2.1819109666677576
0.4136363636363636,2.2256972585972816
0.42840909090909074,2.268438415249309
0.4431818181818181,2.310207801491281
0.4579545454545455,2.351072955150494
0.47272727272727266,2.3910961025464643
0.4874999999999998,2.4303346238399897
0.5022727272727272,2.4688414735204116
0.5170454545454546,2.506665560742887
0.5318181818181817,2.5438520936927214
0.5465909090909089,2.5804428916842213
0.5613636363636363,2.616476668288539
0.5761363636363637,2.6519892884214324
0.5909090909090908,2.6870140020013302
0.605681818181818,2.721581656505235
0.6204545454545454,2.7557208904999784
0.6352272727272728,2.7894583100052546
0.6499999999999999,2.8228186493489407
