displacement,force
0.0,0.0
0.5072463768115941,0.744959807548844
1.0144927536231882,1.4632617562040677
1.5217391304347825,2.1586759528017545
2.0289855072463765,2.8345965452671575
2.5362318840579707,3.4940970847047845
3.043478260869565,4.139977353232564
3.5507246376811588,4.774803118068359
4.057971014492753,5.400940000690983
4.565217391304348,6.02058243259258
5.0724637681159415,6.635778494595085
5.579710144927535,7.248451295934142
6.08695652173913,7.860417435337497
6.594202898550725,8.473402993690677
7.1014492753623175,9.08905743231785
7.608695652173912,9.708965709046094
8.115942028985506,10.33465887340621
8.623188405797102,10.967623360443321
9.130434782608695,11.609309167981099
9.63768115942029,12.261137073462132
10.144927536231883,12.924505022591879
10.652173913043478,13.600793802075575
11.15942028985507,14.291372092054853
11.666666666666666,14.997600979851304
12.17391304347826,15.720838004846721
12.681159420289854,16.462440794394162
13.18840579710145,17.223770342251424
13.695652173913043,18.006193973905425
14.202898550724635,18.81108803710134
14.71014492753623,19.639840350733913
15.217391304347824,20.49385244085519
15.72463768115942,21.37454158878525
16.231884057971012,22.283342713081794
16.739130434782606,23.22171010434779
17.246376811594203,24.191119029465682
17.753623188405797,25.19306721978322
18.26086956521739,26.229076255992833
18.768115942028984,27.30069286090091
19.27536231884058,28.409490109942833
19.782608695652172,29.5570685681338
20.289855072463766,30.74505736112996
20.79710144927536,31.97511518718843
21.304347826086957,33.248931276040956
21.811594202898547,34.56822630001723
22.31884057971014,35.93475324216057
22.82608695652174,37.35029822555558
23.333333333333332,38.81668130762887
23.840579710144926,40.33575724277952
24.34782608695652,41.909416216337654
24.855072463768114,43.53958455253628
25.362318840579707,45.228225398900456
25.869565217391305,46.97733938921144
26.3768115942029,48.78896528698429
26.884057971014492,50.665180611201464
27.391304347826086,52.60810224587268
27.898550724637676,54.6198870348355
28.40579710144927,56.702732363074574
28.913043478260867,58.85887672571266
29.42028985507246,61.090600285718665
29.927536231884055,63.40022542127768
30.43478260869565,65.79011726367919
30.942028985507243,68.26268422650325
31.44927536231884,70.82037852681
31.956521739130434,73.4656966989748
32.463768115942024,76.20118010175536
32.97101449275362,79.02941541912294
33.47826086956521,81.9530351553435
33.98550724637681,84.97471812475311
34.492753623188406,88.09718993663307
35.0,91.32322347555552
